Date,Open,High,Low,Close,Adj Close,Volume
2016-05-20,3.830000,3.900000,3.810000,3.870000,3.870000,13799600
2016-05-23,3.900000,4.200000,3.880000,4.040000,4.040000,35467000
2016-05-24,4.090000,4.210000,3.920000,4.200000,4.200000,34283900
2016-05-25,4.240000,4.350000,4.150000,4.180000,4.180000,24703600
2016-05-26,4.190000,4.380000,4.170000,4.350000,4.350000,22625700
2016-05-27,4.390000,4.630000,4.370000,4.600000,4.600000,34380600
2016-05-31,4.670000,4.710000,4.500000,4.570000,4.570000,25379200
2016-06-01,4.600000,4.640000,4.380000,4.430000,4.430000,29696400
2016-06-02,4.370000,4.400000,4.070000,4.240000,4.240000,35335000
2016-06-03,4.160000,4.200000,4.080000,4.160000,4.160000,17519900
2016-06-06,4.200000,4.510000,4.170000,4.470000,4.470000,21329600
2016-06-07,4.560000,4.670000,4.470000,4.510000,4.510000,20676200
2016-06-08,4.540000,4.560000,4.380000,4.460000,4.460000,16074300
2016-06-09,4.410000,4.540000,4.320000,4.520000,4.520000,16219100
2016-06-10,4.400000,4.470000,4.300000,4.320000,4.320000,15106500
2016-06-13,4.320000,4.480000,4.320000,4.400000,4.400000,13500700
2016-06-14,4.400000,4.510000,4.330000,4.390000,4.390000,16757400
2016-06-15,4.440000,4.480000,4.300000,4.420000,4.420000,11575300
2016-06-16,4.500000,4.750000,4.460000,4.750000,4.750000,34182700
2016-06-17,4.750000,5.270000,4.680000,5.260000,5.260000,64894100
2016-06-20,5.390000,5.450000,5.090000,5.100000,5.100000,43541300
2016-06-21,5.100000,5.500000,5.090000,5.450000,5.450000,35864600
2016-06-22,5.460000,5.520000,4.960000,5.020000,5.020000,47943300
2016-06-23,5.170000,5.260000,5.050000,5.210000,5.210000,29159200
2016-06-24,4.820000,5.070000,4.760000,4.880000,4.880000,36735200
2016-06-27,4.880000,5.050000,4.650000,4.720000,4.720000,31025300
2016-06-28,4.950000,5.190000,4.910000,5.120000,5.120000,29221400
2016-06-29,5.310000,5.400000,5.100000,5.130000,5.130000,33118300
2016-06-30,5.130000,5.190000,4.950000,5.140000,5.140000,26124800
2016-07-01,5.090000,5.140000,5.000000,5.070000,5.070000,18255900
2016-07-05,5.030000,5.050000,4.880000,4.960000,4.960000,16332500
2016-07-06,4.910000,5.110000,4.900000,5.040000,5.040000,19392900
2016-07-07,5.070000,5.100000,4.940000,5.020000,5.020000,15813800
2016-07-08,4.840000,5.150000,4.820000,5.100000,5.100000,28140700
2016-07-11,5.130000,5.190000,5.000000,5.010000,5.010000,21027900
2016-07-12,5.010000,5.170000,5.010000,5.140000,5.140000,20832500
2016-07-13,5.140000,5.190000,5.040000,5.090000,5.090000,14032500
2016-07-14,5.150000,5.240000,5.060000,5.170000,5.170000,20050100
2016-07-15,5.200000,5.200000,5.100000,5.140000,5.140000,14219300
2016-07-18,5.190000,5.570000,5.130000,5.510000,5.510000,38619400
2016-07-19,5.500000,5.550000,5.340000,5.410000,5.410000,23439600
2016-07-20,5.480000,5.500000,5.400000,5.410000,5.410000,20102400
2016-07-21,5.430000,5.450000,5.100000,5.220000,5.220000,40242000
2016-07-22,5.730000,5.970000,5.450000,5.840000,5.840000,101838300
2016-07-25,5.930000,6.950000,5.920000,6.700000,6.700000,118328600
2016-07-26,6.760000,7.160000,6.710000,6.980000,6.980000,81230600
2016-07-27,6.930000,6.980000,6.680000,6.850000,6.850000,38567300
2016-07-28,6.790000,6.980000,6.740000,6.820000,6.820000,27515600
2016-07-29,6.880000,6.960000,6.750000,6.860000,6.860000,22580500
2016-08-01,6.890000,6.920000,6.570000,6.640000,6.640000,26729000
2016-08-02,6.560000,6.600000,6.150000,6.260000,6.260000,40816400
2016-08-03,6.180000,6.450000,6.150000,6.300000,6.300000,23807800
2016-08-04,6.390000,6.610000,6.370000,6.470000,6.470000,22411000
2016-08-05,6.560000,6.760000,6.470000,6.610000,6.610000,20164000
2016-08-08,6.700000,6.850000,6.650000,6.680000,6.680000,21462200
2016-08-09,6.750000,6.780000,6.540000,6.600000,6.600000,16772400
2016-08-10,6.350000,6.580000,6.250000,6.490000,6.490000,29070700
2016-08-11,6.500000,6.590000,6.460000,6.580000,6.580000,13240300
2016-08-12,6.600000,6.790000,6.550000,6.730000,6.730000,25466400
2016-08-15,6.790000,6.970000,6.780000,6.950000,6.950000,28339400
2016-08-16,6.940000,6.940000,6.650000,6.780000,6.780000,26768800
2016-08-17,6.700000,6.750000,6.610000,6.680000,6.680000,13791300
2016-08-18,6.740000,7.070000,6.730000,7.040000,7.040000,30783300
2016-08-19,7.240000,8.000000,7.220000,7.620000,7.620000,75129300
2016-08-22,7.830000,7.950000,7.370000,7.580000,7.580000,41519200
2016-08-23,7.660000,7.740000,7.530000,7.670000,7.670000,27531100
2016-08-24,7.670000,7.670000,7.370000,7.430000,7.430000,22943900
2016-08-25,7.490000,7.490000,7.200000,7.470000,7.470000,16451300
2016-08-26,7.490000,7.800000,7.460000,7.670000,7.670000,31387900
2016-08-29,7.720000,7.790000,7.570000,7.590000,7.590000,16916300
2016-08-30,7.610000,7.640000,7.410000,7.490000,7.490000,16088100
2016-08-31,7.520000,7.520000,7.280000,7.400000,7.400000,18808800
2016-09-01,7.180000,7.440000,7.090000,7.350000,7.350000,22284600
2016-09-02,7.490000,7.640000,7.380000,7.510000,7.510000,18538400
2016-09-06,7.560000,7.600000,7.250000,7.340000,7.340000,24994600
2016-09-07,7.050000,7.070000,6.780000,6.840000,6.840000,57721900
2016-09-08,6.640000,6.650000,6.150000,6.230000,6.230000,90814700
2016-09-09,6.230000,6.240000,5.850000,5.900000,5.900000,170828000
2016-09-12,5.830000,6.070000,5.770000,5.940000,5.940000,78014400
2016-09-13,5.920000,5.950000,5.660000,5.740000,5.740000,50819500
2016-09-14,5.750000,6.080000,5.750000,6.040000,6.040000,64251100
2016-09-15,6.090000,6.200000,5.950000,6.020000,6.020000,52669500
2016-09-16,6.220000,6.220000,5.970000,6.050000,6.050000,47829400
2016-09-19,6.120000,6.280000,6.080000,6.160000,6.160000,37837200
2016-09-20,6.230000,6.280000,6.120000,6.170000,6.170000,28990900
2016-09-21,6.200000,6.320000,6.140000,6.290000,6.290000,33450000
2016-09-22,6.350000,6.440000,6.330000,6.370000,6.370000,35848200
2016-09-23,6.310000,6.650000,6.310000,6.550000,6.550000,61022400
2016-09-26,6.540000,6.540000,6.310000,6.320000,6.320000,29875800
2016-09-27,6.450000,6.580000,6.290000,6.540000,6.540000,30035900
2016-09-28,6.570000,6.650000,6.480000,6.590000,6.590000,27878300
2016-09-29,6.570000,6.730000,6.540000,6.670000,6.670000,30746100
2016-09-30,6.700000,7.040000,6.700000,6.910000,6.910000,47453100
2016-10-03,6.950000,7.150000,6.870000,6.950000,6.950000,30456700
2016-10-04,7.000000,7.090000,6.890000,6.970000,6.970000,25770000
2016-10-05,6.970000,7.010000,6.700000,6.780000,6.780000,31235600
2016-10-06,6.720000,6.980000,6.630000,6.960000,6.960000,27059700
2016-10-07,6.920000,6.960000,6.620000,6.750000,6.750000,33059000
2016-10-10,6.820000,6.940000,6.800000,6.840000,6.840000,13800500
2016-10-11,6.800000,6.840000,6.380000,6.500000,6.500000,32510800
2016-10-12,6.640000,6.770000,6.420000,6.620000,6.620000,33592700
2016-10-13,6.500000,6.540000,6.240000,6.490000,6.490000,30401700
2016-10-14,6.920000,7.120000,6.740000,6.750000,6.750000,66934400
2016-10-17,6.920000,6.970000,6.640000,6.670000,6.670000,24261500
2016-10-18,6.760000,6.890000,6.690000,6.730000,6.730000,25314800
2016-10-19,6.700000,6.800000,6.570000,6.770000,6.770000,29420200
2016-10-20,6.810000,6.980000,6.770000,6.960000,6.960000,64607500
2016-10-21,6.500000,6.650000,6.370000,6.520000,6.520000,64243500
2016-10-24,6.570000,7.010000,6.540000,7.010000,7.010000,52998400
2016-10-25,6.900000,7.500000,6.870000,7.500000,7.500000,78862000
2016-10-26,7.400000,7.480000,7.260000,7.290000,7.290000,47619300
